***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "18-07-09-03-12-2017"
}
---SESSION HEADER---
Time; Position; Rotation.X; Rotation.Y; Rotation.Virtualizer; Rotation.Controller.x; Rotation.Controller.y; Height.Virtualizer; FPS; Input;
65231.3187;(-15.8044, 2.5100, -33.4400);284.3047;354.4868;264.3750;287.8492;353.4374;17.5260;88.2251;;
65231.3298;(-15.8044, 2.5100, -33.4400);284.2976;354.4883;264.3750;287.8315;353.4272;17.5260;88.3882;;
65231.3413;(-15.8044, 2.5100, -33.4400);284.2888;354.4820;264.3750;287.8275;353.4178;17.5260;88.5972;;
65231.3523;(-15.8044, 2.5100, -33.4400);284.2928;354.4736;264.3750;287.8231;353.4085;17.5260;88.5427;;
65231.3633;(-15.8044, 2.5100, -33.4400);284.3015;354.4753;264.3750;287.8219;353.3996;17.5260;88.7758;;
65231.3748;(-15.8044, 2.5100, -33.4400);284.3089;354.4892;264.3750;287.8212;353.3849;17.5260;88.8976;;
65231.3858;(-15.8044, 2.5100, -33.4400);284.3282;354.4944;264.3750;287.8200;353.3856;17.5260;88.8989;;
65231.3968;(-15.8044, 2.5100, -33.4400);284.3454;354.4987;264.3750;287.8141;353.3907;17.5260;89.0206;;
65231.4083;(-15.8044, 2.5100, -33.4400);284.3465;354.4968;264.3750;287.8157;353.3871;17.5260;89.1201;;
65231.4193;(-15.8044, 2.5100, -33.4400);284.3509;354.4950;264.3750;287.8303;353.3850;17.5260;88.8857;;
65231.4304;(-15.8044, 2.5100, -33.4400);284.3729;354.4998;264.3750;287.8199;353.3900;17.5260;89.2041;;
65231.4419;(-15.8044, 2.5100, -33.4400);284.3778;354.4931;264.3750;287.8228;353.3913;17.5260;89.1451;;
65231.4529;(-15.8044, 2.5100, -33.4400);284.3908;354.4892;264.3750;287.8178;353.3850;17.5260;89.0357;;
65231.4639;(-15.8044, 2.5100, -33.4400);284.3974;354.4866;264.3750;287.8187;353.3826;17.5260;89.2691;;
65231.4754;(-15.8044, 2.5100, -33.4400);284.4123;354.4697;264.3750;287.8121;353.3780;17.5260;89.2594;;
65231.4864;(-15.8044, 2.5100, -33.4400);284.4041;354.4568;264.3750;287.8181;353.3685;17.5260;89.0986;;
65231.4973;(-15.8044, 2.5100, -33.4400);284.4203;354.4584;264.3750;287.8290;353.3648;17.5260;89.2693;;
65231.5088;(-15.8044, 2.5100, -33.4400);284.4131;354.4403;264.3750;287.8254;353.3626;17.5260;89.3637;;
65231.5196;(-15.8044, 2.5100, -33.4400);284.4215;354.4380;264.3750;287.8249;353.3590;17.5260;89.4418;;
65231.5311;(-15.8044, 2.5100, -33.4400);284.4225;354.4317;264.3750;287.8151;353.3631;17.5260;89.5530;;
